	Tscore	pval
A1BG	0.38921173085421407	0.7034783890929774
A1BG-AS1	0.3358139861480863	0.7399867834485789
A1CF		
A2M	1.146125687548506	0.26391017954880525
A2M-AS1	-0.9865371815393768	0.33877937860629614
A2ML1		
A2ML1-AS1	1.0000000000000002	0.32869468323646356
A2ML1-AS2	1.4491376746189442	0.1620687119391624
A2MP1	-0.6407694805609914	0.5344152177469819
A3GALT2	2.0012921657440215	0.05506223350694419
A4GALT	0.3284266908695885	0.7448706475475838
A4GNT		
AAAS	1.0457826795646994	0.3050204017317795
AACS	0.06872109530584494	0.9459770477010496
AACSP1		
AADAC		
AADACL2		
AADACL2-AS1		
AADACL3	-1.0	0.34343639613791355
AADACL4		
AADACP1		
AADAT	1.4491376746189444	0.16206871193916228
AAGAB	1.2247014224928234	0.23627020366485207
AAK1	-0.2034571427854853	0.8409158756057222
AAMDC	1.0607017700545898	0.29864084912744815
AAMP	0.7285894100511477	0.4739093467199478
AANAT	3.0522204020542234	0.006052825040327724
AAR2	0.6967990681278589	0.4931994927724611
AARD	1.2264982650902285	0.23358620432486227
AARS1	1.606283569891133	0.11880741626115211
AARS1P1		
AARS2	0.3510319487803727	0.729213903803305
AARSD1	1.3113846163168712	0.2060764886711209
AASDH	0.8086161368572422	0.4286479243328526
AASDHPPT	-0.0485096338179969	0.9618557087679576
AASS	-0.7532986328712583	0.4651967086733525
AATBC	-1.2544406385727713	0.22907015718212562
AATF	0.25644739113153997	0.8000860504880695
AATK	2.22149411313126	0.034956391565757486
ABALON	0.04195058711666649	0.9669664707923465
ABAT	-1.0022635165856755	0.3334373228933929
ABBA01000933.1		
ABBA01000935.2	1.3690641166406108	0.18190742794816814
ABBA01006766.1		
ABBA01010928.1		
ABBA01031658.1		
ABBA01031669.1		
ABBA01045074.1		
ABBA01045074.2		
ABCA1	1.515496489303385	0.14461796019086406
ABCA10	0.866086929972751	0.39525493603650097
ABCA11P	-0.2416473688680067	0.812110363972079
ABCA12	1.0000000000000002	0.32869468323646356
ABCA13	2.0339334061381	0.054324642898408285
ABCA17P	3.126729622512453e-17	1.0
ABCA2	1.5724203066527769	0.1266610256859941
ABCA3	-0.6674096012704877	0.5124348797677263
ABCA4	0.5811819917420984	0.5654608072002908
ABCA5	-0.7543761599404988	0.46250346607499804
ABCA6	-0.8893954039562066	0.3967055001950295
ABCA7	2.447570656505298	0.02204155383403678
ABCA8		
ABCA9	-1.2735850321655338	0.23366830607337455
ABCA9-AS1	1.2833778958394961	0.2133419606752295
ABCB1	-0.2199928464375163	0.8279159684499008
ABCB10	-0.5322501709310364	0.6033871039832667
ABCB10P1		
ABCB10P3		
ABCB10P4		
ABCB11	2.0768334235288357	0.048092930261425734
ABCB4	0.41458952145396993	0.6823660512568585
ABCB5	-0.2087652898032179	0.8373406316743943
ABCB6	2.670265609445225	0.012435185855543476
ABCB7	0.1233178811124845	0.90325128572782
ABCB8	1.4984906037044023	0.1463713948912079
ABCB9	3.7620244888784464	0.000834654830945282
ABCC1	-0.2848719050484826	0.7792321256144809
ABCC10	-0.2633109836262538	0.7956851273146059
ABCC11	1.4469512580553359	0.15918792490437686
ABCC12	-1.0	0.34343639613791355
ABCC13	-0.22967959156982762	0.8211394933920158
ABCC2	2.4646844168924145	0.021962041240686993
ABCC3	1.3436721244371714	0.19221122116930864
ABCC4	-0.43542364561679403	0.6721439298016341
ABCC5	-0.1140928090271927	0.9104812045761447
ABCC5-AS1		
