Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,random5,-0.47549205897451613,-1.8170788845802113,0.0,0.029085583084285334,0.029,45/98,25.31%,UBTD1;MRAS;RRAS;TPSB2;AL133390.1;RHBG;RABGAP1L-IT1;AC104794.5;PITPNA;AP000281.2;AC004775.1;FP565260.2;AC026798.1;AC130456.6;AL512599.1;LINC01290;SCYGR10;RN7SL846P;AC073592.1;FANK1;AC019186.1;TPPP;GBE1;NUDT4B;LINC01618;RPS2P46;DECR2;RPL30P14;CYB5D2;TCN1;KRT74;RPL34P31;SH3GL3;ARHGAP29;MVB12A;NDUFS2;RN7SL566P;INTS11;GRK6;RCC2P6;MPDU1;AL031847.1;AL138976.2;AL590491.2;KIAA1549
prerank,random11,-0.44901952965269254,-1.690517135786177,0.0,0.12988217273844657,0.221,39/98,27.73%,ATG7;AC111170.1;AC104964.3;KLF1;IGHD6-25;AL592114.3;MARK3P3;AC016394.1;AC011499.1;RAB40AL;VN1R80P;AC066616.2;TMEM130;H3C7;AL139385.1;STRADB;AC004815.1;HPS1;FP236383.1;TUFM;BMPR1B;AC010531.2;UCN2;FCHO1;AL589666.2;CELF3;TBC1D3C;MAG;REP15;AL121900.1;AC132219.1;RPAP1;AC098590.1;TSKS;AC004854.2;RNF5;MCHR1;RN7SL825P;KL
prerank,random477,-0.4272657499583533,-1.6189115766391424,0.0,0.2430484931296027,0.521,35/98,24.08%,PYCARD-AS1;NUCB1;ILK;GGT5;AL355922.1;RNA5-8SN1;F3;AC006213.3;MS4A4A;GLOD5;SNRPGP5;AC110921.2;RNU6-126P;RPS10P27;OR9A2;AL109984.1;LINC02673;AC100835.2;Z83844.1;AC027088.5;BCAS2P1;AKNAD1;ST3GAL6-AS1;POU5F2;CERS3;AL391422.4;AC011472.1;AL390726.3;PPIAP55;BX323845.3;AC239803.1;AC015883.1;CARD10;HSPD1P6;AL355297.2
prerank,random698,0.39460250356623594,1.6155707801022214,0.0,0.3541232459904372,0.302,33/98,20.37%,ALG1L13P;LINC00641;MALINC1;OSBPL9;MOXD1;DMTF1;BTN3A1;BORA;AC096631.2;C11orf95;ZNF333;ZNF799;CWC22;ZNF10;SNHG1;SCML4;GRIK4;ARPC5L;WDR12;CAND2;CEP57L1;ING5;MON1B;LINC00674;DDX59;CSGALNACT2;HCFC2;MIR6813;GOLGA8M;GTF2IRD2B;ARL8B;MAFF;C5orf22
prerank,random406,-0.42114536657476853,-1.6001101198360308,0.0015479876160990713,0.24321565165307563,0.618,35/98,22.64%,PLB1;CAT;RGS11;NLRP3;OLA1P2;AC009090.1;AC026191.1;AC084026.1;TMEM185AP1;AL591686.2;AC010463.3;COPG2;MTCO1P15;MAPK6P6;AC024032.2;AC073050.1;AC005521.1;AL391121.1;AC004491.1;TMDD1;CYTH4;C5orf49;CLIC1P1;LENG9;CPEB1;MAZ;P4HA3;FHDC1;LINC00643;ATAD3A;MIR3605;AC064801.2;EIF4A3;MIR941-5;AL139130.1
prerank,random943,-0.4203411072345289,-1.5932141488742275,0.0031201248049922,0.21603567573638136,0.658,30/98,19.11%,FTH1P11;AC010359.3;AC009120.3;CMTM4;AGAP3;AC017079.2;AC092354.2;RNA5SP149;RN7SKP118;AC022973.3;AC011498.3;OCEL1;ARSD-AS1;AL157769.1;TRAF7;IL18;ACKR1;PALLD;SDS;ENKD1;AL356488.1;TCF7L1;AL133353.1;AC023202.1;AC096649.3;YWHAB;AL731571.1;ADCK1;SORD;SYNGR2
prerank,random594,-0.41313097230722134,-1.5702888562530644,0.0064516129032258064,0.25023630963893756,0.776,27/98,17.09%,AC007448.4;STX5;CCDC124;FP671120.2;AC048380.2;AC010507.1;AC013356.3;RN7SL220P;ITSN1;PA2G4;ATP5PBP1;AC093525.9;RPS23P10;AC243967.3;S100A11P1;AL161785.3;ME1;SRGAP1;RNY1P11;SNX29P2;SEMA3D;AC105429.2;AC109583.1;TENT5C;AL355877.2;SMARCD2;AL449212.1
prerank,random771,0.3771160872318873,1.5094726109331777,0.008928571428571428,0.7758880108779244,0.787,23/98,11.86%,FBXO39;AL590708.1;ADAR;CDK1;NXPE3;LTN1;FRYL;ZNF286A;DBF4B;GOLGA2P10;PAIP1P1;FTCD;DTD2;IGHV3-20;DUSP11;SCML4;NAB1;CEP72;XPO4;LRIG2;AC103858.3;TRBV9;TMEM44-AS1
prerank,random530,0.37021900572365757,1.4901315137667503,0.005763688760806916,0.6541995920778396,0.868,30/98,21.62%,CEP70;HMGN4;DNMT3A;IGKV5-2;HSP90B1;CCDC66;HIRA;SNHG3;MOV10;FAM120A;AL009179.2;MYLK-AS1;MKRN2;GGA2;MCUR1;AL031775.2;SLK;CISD1;INTS12;AC073548.1;GPR137C;HSPA8P1;ARHGEF26;KRT128P;BEND4;PRELID3BP4;FOXM1;SDAD1P1;GPR17;ATP5PF
prerank,random557,0.37013563939265925,1.489298679326537,0.0056657223796034,0.49587201720851953,0.869,31/98,17.67%,CCR8;MICU2;GALNT3;AL031777.1;B3GLCT;DENND5B;GLIPR1L2;CLHC1;PDK1;AC023424.2;NSMCE4A;RABGGTB;HPS4;AC096564.1;FAM133B;AC022098.4;KLHL15;TAF5;NXT2;OTUD3;NADK;POLR3D;ADH5;AC008040.2;ATG4A;SNORA25;ZNF853;PPIAP22;SPIB;AL359091.3;TMIE
