	Tscore	pval
A1BG	0.0975779832191179	0.9236092240372511
A1BG-AS1	0.7965110424833057	0.43226973211701036
A1CF	1.0000000000000004	0.32925657717170886
A2M	-0.6846420653046568	0.5064696982107082
A2M-AS1	1.3268699545374125	0.1985208712926097
A2ML1		
A2ML1-AS1	1.0	0.329256577171709
A2ML1-AS2	0.8843869583364812	0.3863059511111766
A2MP1	0.1329479768786127	0.8953502915156761
A3GALT2	1.4123096905870502	0.17006961644987323
A4GALT	-0.9598055331093684	0.36148536687915533
A4GNT	1.0000000000000002	0.32925657717170886
AAAS	0.21106695375936071	0.834686419641285
AACS	2.106258069261055	0.04429364871938189
AACSP1		
AADAC		
AADACL2		
AADACL2-AS1	1.0000000000000004	0.32925657717170886
AADACL3	1.0000000000000004	0.32925657717170886
AADACL4	1.0000000000000004	0.32925657717170886
AADACP1	1.0000000000000004	0.32925657717170886
AADAT		
AAGAB	2.4003937779689593	0.02361618562190264
AAK1	1.97572100822209	0.05777132554269857
AAMDC	-1.8495354424779937	0.0771034541990162
AAMP	-0.8295947002398811	0.42124102776958805
AANAT	-0.33526988670575114	0.7440478970967223
AAR2	-0.08272348034809204	0.9350258006201344
AARD	1.0000000000000004	0.32925657717170886
AARS1	1.0323709515799062	0.3183449959184403
AARS1P1		
AARS2	1.387861685077108	0.17800439703035376
AARSD1	-0.07901203884856034	0.937890189994713
AASDH	2.6372482737321854	0.01353826242679014
AASDHPPT	2.2671348953406123	0.03263887648234378
AASS	1.1551857199228812	0.2615096940930107
AATBC	-1.144451477304278	0.2716739380147749
AATF	-0.8051682011813648	0.43551937967572685
AATK	0.42912118291308127	0.6726234538811844
ABALON	-0.7024786443732355	0.49602360798573764
ABAT	0.8247063186901903	0.42190008492362174
ABBA01000933.1		
ABBA01000935.2	0.7901613791877953	0.43941444399287133
ABBA01006766.1		
ABBA01010928.1		
ABBA01031658.1		
ABBA01031669.1		
ABBA01045074.1		
ABBA01045074.2		
ABCA1	3.2198941496084013	0.0032158198049211622
ABCA10	2.5960904852543294	0.014656822128886275
ABCA11P	2.7326245233029867	0.010743827277223578
ABCA12	-0.23548012344593516	0.8173320071055401
ABCA13	0.8546511523976923	0.4008692303028536
ABCA17P	2.1754722833159588	0.03936166600844759
ABCA2	4.063157089975951	0.0003816461675246376
ABCA3	1.2607727807939952	0.22033181511894795
ABCA4	1.0920051848212315	0.28781129218240914
ABCA5	4.635613956806476	7.621099113249458e-05
ABCA6	1.0775348620280867	0.29075179968743126
ABCA7	2.3152158855361327	0.028322929124811932
ABCA8		
ABCA9	-0.6585541639930779	0.5184101476763648
ABCA9-AS1		
ABCB1	2.4448941972970193	0.02115069414285934
ABCB10	3.341963886357863	0.0023059386590816226
ABCB10P1	0.7133328369673326	0.4829374798486097
ABCB10P3	-0.9999999999999998	0.34343639613791366
ABCB10P4	1.0000000000000004	0.32925657717170886
ABCB11	2.6835436506067603	0.01309176256418389
ABCB4	3.187345806319011	0.003527855210149105
ABCB5	-0.3384796465557461	0.7409158312524856
ABCB6	-0.6293523740019266	0.5408371242506903
ABCB7	0.5577348148740604	0.5835985274578583
ABCB8	1.5872984114489932	0.12468784415013175
ABCB9	1.8773143608699552	0.07058125254095832
ABCC1	2.8539625019054258	0.0079096345696206
ABCC10	1.8215748327116716	0.08090457984606637
ABCC11	2.4822992141440765	0.021198260123149668
ABCC12	1.0940705754550786	0.2869263037412276
ABCC13	-0.8207968824102044	0.4316190898109912
ABCC2	2.2825843705991486	0.03176609510226966
ABCC3	-1.8700763952600992	0.08602071449366863
ABCC4	1.262294031880975	0.21762468378406943
ABCC5	1.963812990443425	0.06568133643473055
ABCC5-AS1		
ABCC6	0.03693745558190723	0.9708996650245145
ABCC6P1	-1.2465841486370433	0.23962912813838513
